day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,"10 min, 15 s.decisions","10 min, 15 s.in_time_share","10 min, 15 s.never","10 min, 15 s.unwinnable","10 min, 15 s.latency_p50_s","10 min, 15 s.slack_p50_s","10 min, 30 s.decisions","10 min, 30 s.in_time_share","10 min, 30 s.never","10 min, 30 s.unwinnable","10 min, 30 s.latency_p50_s","10 min, 30 s.slack_p50_s","10 min, 120 s.decisions","10 min, 120 s.in_time_share","10 min, 120 s.never","10 min, 120 s.unwinnable","10 min, 120 s.latency_p50_s","10 min, 120 s.slack_p50_s","30 min, 15 s.decisions","30 min, 15 s.in_time_share","30 min, 15 s.never","30 min, 15 s.unwinnable","30 min, 15 s.latency_p50_s","30 min, 15 s.slack_p50_s","30 min, 30 s.decisions","30 min, 30 s.in_time_share","30 min, 30 s.never","30 min, 30 s.unwinnable","30 min, 30 s.latency_p50_s","30 min, 30 s.slack_p50_s","30 min, 120 s.decisions","30 min, 120 s.in_time_share","30 min, 120 s.never","30 min, 120 s.unwinnable","30 min, 120 s.latency_p50_s","30 min, 120 s.slack_p50_s","60 min, 15 s.decisions","60 min, 15 s.in_time_share","60 min, 15 s.never","60 min, 15 s.unwinnable","60 min, 15 s.latency_p50_s","60 min, 15 s.slack_p50_s","60 min, 30 s.decisions","60 min, 30 s.in_time_share","60 min, 30 s.never","60 min, 30 s.unwinnable","60 min, 30 s.latency_p50_s","60 min, 30 s.slack_p50_s","60 min, 120 s.decisions","60 min, 120 s.in_time_share","60 min, 120 s.never","60 min, 120 s.unwinnable","60 min, 120 s.latency_p50_s","60 min, 120 s.slack_p50_s"
workday,"decay, oracle",303,2949,12100,36.9,282.2,24.59,2365.9,9749.5,24810,0,283,2206,70,0,31.7,52.3,59.2,,823.2,7848.7,127.1,352.3,3518.0,0,0,2039,0,97,320,0.803125,2,11,40.393,210.755903881,320,0.76875,2,21,40.393,206.008972705,320,0.60625,2,82,40.393,145.710366651,751,0.9027962716378163,7,11,43.797,475.944532929,751,0.8881491344873502,7,21,43.797,470.486520847,751,0.810918774966711,7,82,43.797,461.658590059,1287,0.9362859362859363,12,11,44.049,1064.910672863,1287,0.9261849261849262,12,21,44.049,1067.353003289,1287,0.8749028749028749,12,82,44.049,1091.869832831
workday,"decay, oracle",404,2678,12204,38.0,278.2,24.0,2064.0,8701.5,25139,0,217,2212,55,0,31.9,70.4,109.2,,771.9,6770.8,112.6,244.2,3050.0,0,0,2059,0,98,277,0.8375451263537906,0,16,38.535,205.486432373,277,0.8086642599277978,0,26,38.535,194.446039111,277,0.5992779783393501,0,77,38.535,144.148292249,741,0.9284750337381916,6,16,42.13,557.97802793,741,0.9176788124156545,6,26,42.13,562.289148607,741,0.8299595141700404,6,77,42.13,575.741261475,1293,0.9551430781129157,11,16,43.052,1146.219045072,1293,0.9489559164733179,11,26,43.052,1138.60952166,1293,0.8948182521268369,11,77,43.052,1167.79072628
earthquake,off,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0,325,0.5692307692307692,3,12,62.097,233.227118979,325,0.5538461538461539,3,19,62.097,221.160670798,325,0.4492307692307692,3,75,62.097,180.788338047,914,0.6422319474835886,8,12,78.922,782.057681384,914,0.6367614879649891,8,19,78.922,773.058675483,914,0.5962800875273523,8,75,78.922,748.189447234,1662,0.6588447653429603,24,12,91.178,1488.782658229,1662,0.6558363417569194,24,19,91.178,1484.181747861,1662,0.6329723225030084,24,75,91.178,1459.098218347
earthquake,off,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0,410,0.5292682926829269,15,17,74.261,248.405113748,410,0.5121951219512195,15,28,74.261,243.704128665,410,0.4097560975609756,15,91,74.261,212.497316717,1093,0.5919487648673376,34,17,77.881,777.351773651,1093,0.5846294602012809,34,28,77.881,769.990564213,1093,0.5434583714547118,34,91,77.881,738.975877439,1929,0.6189735614307932,43,17,84.175,1484.182841707,1929,0.6148263348885433,43,28,84.175,1477.790034744,1929,0.5894245723172629,43,91,84.175,1486.932617753
earthquake,off,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0,351,0.49572649572649574,8,11,134.014,216.50794874,351,0.4672364672364672,8,20,134.014,207.84323942,351,0.3646723646723647,8,83,134.014,172.133650343,946,0.5613107822410148,19,11,139.945,817.512459294,946,0.5507399577167019,19,20,139.945,807.084381506,946,0.5105708245243129,19,83,139.945,768.216622863,1717,0.5917297612114153,25,11,136.69,1498.553264771,1717,0.5859056493884682,25,20,136.69,1497.003446154,1717,0.5626092020966803,25,83,136.69,1497.228365329
earthquake,off,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0,583,0.4939965694682676,9,18,84.337,250.798432277,583,0.4716981132075472,9,39,84.337,245.355669195,583,0.3876500857632933,9,137,84.337,182.667530916,1608,0.5677860696517413,21,18,102.392,806.395176633,1608,0.5597014925373134,21,39,102.392,801.647853601,1608,0.5286069651741293,21,137,102.392,772.133140385,2921,0.6100650462170489,28,18,110.046,1516.581027901,2921,0.6049298185552893,28,39,110.046,1514.896000238,2921,0.5847312564190346,28,137,110.046,1487.774488473
earthquake,decay,101,18350,22395,345.1,388.6,48.06,16046.4,85343.8,37016,570,528,5167,97,1,53.4,176.0,906.8,29.9,151.0,981.2,7883.1,13213.4,40013.4,9,0,4695,0,384,325,0.6061538461538462,2,12,49.088,236.160670798,325,0.5938461538461538,2,19,49.088,225.224532931,325,0.49538461538461537,2,75,49.088,177.221786945,914,0.7024070021881839,7,12,48.922,788.574904482,914,0.6980306345733042,7,19,48.922,782.008741266,914,0.6608315098468271,7,75,48.922,730.951855158,1662,0.723826714801444,21,12,50.999,1541.962656526,1662,0.7214199759326113,21,19,50.999,1530.842791613,1662,0.7009626955475331,21,75,50.999,1492.222216534
earthquake,decay,202,20244,24725,348.9,396.8,48.2,18723.2,86474.5,36738,498,204,5249,137,2,198.4,1263.4,1357.5,400.0,166.4,1188.0,24601.4,85312.7,44790.9,24,0,4691,0,445,410,0.5292682926829269,17,17,57.797,241.530382405,410,0.5146341463414634,17,28,57.797,233.405113748,410,0.4195121951219512,17,91,57.797,203.314485395,1093,0.6340347666971637,37,17,53.095,795.18405972,1093,0.6285452881976212,37,28,53.095,789.503470183,1093,0.5846294602012809,37,91,53.095,761.206228212,1929,0.6645930533955418,47,17,51.18,1533.914213188,1929,0.6614826334888543,47,28,51.18,1520.167565744,1929,0.6365992742353551,47,91,51.18,1499.85675106
earthquake,decay,303,19528,24333,343.5,403.4,48.12,18451.5,86370.7,37560,499,380,5216,105,2,206.8,1706.1,2078.6,392.7,223.6,1609.1,10717.3,15885.6,42066.0,10,0,4794,0,327,351,0.5384615384615384,9,11,57.711,251.681276362,351,0.5242165242165242,9,20,57.711,239.390214234,351,0.41595441595441596,9,83,57.711,193.139255625,946,0.627906976744186,19,11,56.26,796.832105779,946,0.6215644820295984,19,20,56.26,787.270621252,946,0.5782241014799154,19,83,56.26,754.316371368,1717,0.6651135701805475,25,11,59.29,1495.103005896,1717,0.6616191030867793,25,20,59.29,1493.623595567,1717,0.6377402446126965,25,83,59.29,1491.806768873
earthquake,decay,404,21917,26077,382.8,383.3,47.74,17024.8,86199.7,38524,759,157,5401,151,4,330.5,2024.7,2362.8,717.6,277.1,2041.5,38394.8,86066.0,44993.3,25,0,4838,0,437,583,0.5214408233276158,9,18,65.903,262.708979033,583,0.49056603773584906,9,39,65.903,259.19670379,583,0.411663807890223,9,137,65.903,195.37242665,1608,0.6063432835820896,21,18,64.306,828.509299114,1608,0.5951492537313433,21,39,64.306,828.403560224,1608,0.5640547263681592,21,137,64.306,787.965181577,2921,0.655255049640534,27,18,66.364,1505.470939567,2921,0.6487504279356385,27,39,66.364,1514.332169388,2921,0.6302636083533036,27,137,66.364,1481.611543402
