day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
rock burst,"decay, oracle",101,4489,17133,97.5,330.4,40.35,9999.3,37424.5,32862,50,457,2986,57,0,37.1,69.6,254.7,,3731.0,31752.3,129.5,282.7,15500.5,0,0,2830,0,99,685,0.9562043795620438,0,14,30.6,618.783740625,685,0.9153284671532846,1,14,41.057,499.146007718,79,0.759493670886076,0,11,36.324,657.337326673,79,0.759493670886076,0,11,40.625,657.337326673,685,0.8437956204379562,0,88,30.6,617.4,685,0.7956204379562044,1,88,41.057,480.2,139,0.9568345323741008,0,3,29.164,571.792604681
rock burst,"decay, oracle",202,4784,17442,106.1,333.6,44.8,10244.0,40483.5,33680,58,495,3086,75,0,35.3,73.8,254.3,,3647.6,32442.0,154.7,496.1,15756.2,0,0,2920,0,91,810,0.9506172839506173,0,14,29.56,686.942622144,810,0.9148148148148149,2,14,43.296,549.693531402,116,0.8275862068965517,0,13,31.112,576.66768954,116,0.8189655172413793,0,13,33.899,505.224191663,810,0.828395061728395,0,118,29.56,664,810,0.7777777777777778,2,118,43.296,548.8,146,0.9246575342465754,0,4,30.639,733.16838918
rock burst,"decay, oracle",303,4625,17891,103.7,338.8,48.16,11832.2,48002.2,33890,42,399,3103,76,1,40.0,112.4,220.1,181.4,4210.1,34083.4,166.6,526.4,18037.8,0,0,2918,0,109,786,0.9363867684478372,0,18,29.764,654.683625843,786,0.8893129770992366,3,18,41.508,488.250627244,101,0.693069306930693,0,16,30.653,648.934162147,101,0.6633663366336634,0,16,38.494,712.587330929,786,0.8346055979643766,0,100,29.764,630.1,786,0.7659033078880407,3,100,41.508,468.7,158,0.9240506329113924,0,4,29.156,629.058721024
rock burst,"decay, oracle",404,5375,17701,105.6,325.7,40.76,8932.5,30447.8,33822,49,490,3001,63,0,41.2,69.6,269.6,,3178.6,28642.3,159.1,396.8,13631.4,0,0,2854,0,84,795,0.9371069182389937,0,14,31.352,630.42829668,795,0.8742138364779874,7,14,42.624,535.700100115,96,0.7395833333333334,0,14,32.944,537.460935532,96,0.71875,0,14,36.988,612.196518292,795,0.8327044025157233,0,95,31.352,633.3,795,0.7522012578616353,7,95,42.624,545,159,0.9371069182389937,0,4,31.842,458.911938972
earthquake,off,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0,914,0.8916849015317286,0,19,36.576,812.174042985,914,0.6367614879649891,8,19,78.922,773.058675483,171,0.7777777777777778,0,23,32.843,832.862079919,171,0.672514619883041,1,23,37.533,1091.535410868,914,0.8074398249452954,0,102,36.576,759.4,914,0.5700218818380745,8,102,78.922,737,173,0.9017341040462428,0,7,35.495,766.195023972
earthquake,off,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0,1093,0.8636779505946935,0,28,37.162,777.721548012,1093,0.5846294602012809,34,28,77.881,769.990564213,232,0.7586206896551724,0,17,40.285,626.209571864,232,0.6077586206896551,6,17,63.696,655.704140305,1093,0.7255260750228728,0,198,37.162,712.7,1093,0.48947849954254347,34,198,77.881,728,165,0.7818181818181819,0,9,36.241,789.503470183
earthquake,off,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0,946,0.8372093023255814,0,20,37.916,815.222341988,946,0.5507399577167019,19,20,139.945,807.084381506,202,0.6534653465346535,0,18,39.33,879.535,202,0.5544554455445545,2,18,50.434,879.535,946,0.7610993657505285,0,113,37.916,757.6,946,0.4915433403805497,19,113,139.945,764.2,168,0.8154761904761905,0,4,40.036,885.042938137
earthquake,off,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0,1608,0.7991293532338308,0,39,38.918,816.059678614,1608,0.5597014925373134,21,39,102.392,801.647853601,263,0.7452471482889734,0,25,40.306,941.555363241,263,0.6577946768060836,2,25,41.178,1020.001,1608,0.7493781094527363,0,142,38.918,768.7,1608,0.5192786069651741,21,142,102.392,759.4,323,0.7708978328173375,0,6,41.326,796.446081204
earthquake,decay,101,18350,22395,345.1,388.6,48.06,16046.4,85343.8,37016,570,528,5167,97,1,53.4,176.0,906.8,29.9,151.0,981.2,7883.1,13213.4,40013.4,9,0,4695,0,384,914,0.9223194748358862,0,19,34.599,816.043323456,914,0.6980306345733042,7,19,48.922,782.008741266,171,0.8187134502923976,0,23,29.937,816.45333404,171,0.7309941520467836,1,23,34.354,984.493604533,914,0.838074398249453,0,102,34.599,766.6,914,0.6312910284463895,7,102,48.922,731.9,173,0.9075144508670521,0,7,34.149,783.366577585
earthquake,decay,202,20244,24725,348.9,396.8,48.2,18723.2,86474.5,36738,498,204,5249,137,2,198.4,1263.4,1357.5,400.0,166.4,1188.0,24601.4,85312.7,44790.9,24,0,4691,0,445,1093,0.9158279963403476,0,28,35.802,782.421322105,1093,0.6285452881976212,37,28,53.095,789.503470183,232,0.7931034482758621,0,17,31.235,672.884794195,232,0.6508620689655172,6,17,41.549,783.913535575,1093,0.7657822506861848,0,198,35.802,712.7,1093,0.5233302836230558,37,198,53.095,740.6,165,0.8545454545454545,0,9,32.678,808.930320969
earthquake,decay,303,19528,24333,343.5,403.4,48.12,18451.5,86370.7,37560,499,380,5216,105,2,206.8,1706.1,2078.6,392.7,223.6,1609.1,10717.3,15885.6,42066.0,10,0,4794,0,327,946,0.8953488372093024,0,20,34.14,801.996301065,946,0.6215644820295984,19,20,56.26,787.270621252,202,0.7128712871287128,0,18,31.352,834.100540181,202,0.6089108910891089,2,18,36.28,780.307832176,946,0.8107822410147991,0,113,34.14,750.6,946,0.5591966173361522,19,113,56.26,730.9,168,0.9166666666666666,0,4,33.431,827.343951719
earthquake,decay,404,21917,26077,382.8,383.3,47.74,17024.8,86199.7,38524,759,157,5401,151,4,330.5,2024.7,2362.8,717.6,277.1,2041.5,38394.8,86066.0,44993.3,25,0,4838,0,437,1608,0.8258706467661692,0,39,37.407,816.658401399,1608,0.5951492537313433,21,39,64.306,828.403560224,263,0.7718631178707225,0,25,40.306,897.739206313,263,0.688212927756654,2,25,42.724,990.001,1608,0.7742537313432836,0,142,37.407,775.1,1608,0.5534825870646766,21,142,64.306,783.7,323,0.7956656346749226,0,6,38.645,786.852638138
earthquake,"decay, oracle",101,11188,28160,301.9,429.7,48.12,22968.5,86371.1,51100,243,428,5167,97,1,30.7,44.9,229.4,29.9,7875.9,81828.0,159.6,528.4,38937.7,0,0,4979,0,91,914,0.9485776805251641,0,19,28.841,716.520444559,914,0.9091903719912473,6,19,36.714,598.820276077,171,0.8304093567251462,0,23,25.499,816.45333404,171,0.8128654970760234,1,23,26.943,824.701077512,914,0.8424507658643327,0,102,28.841,696.6,914,0.7932166301969366,6,102,36.714,587.8,173,0.9421965317919075,0,7,28.984,698.522101125
earthquake,"decay, oracle",202,12516,29922,312.0,431.6,48.26,22768.8,86416.5,52706,264,366,5249,137,2,41.6,123.4,582.2,160.0,8564.8,86112.8,292.5,1187.2,38814.4,0,0,5009,0,103,1093,0.9432753888380604,0,28,28.22,707.727724224,1093,0.8151875571820677,41,28,37.807,617.906798437,232,0.8663793103448276,0,17,27.861,684.776644687,232,0.8318965517241379,6,17,29.298,684.776644687,1093,0.7758462946020128,0,198,28.22,651,1093,0.6678865507776761,41,198,37.807,607.2,165,0.8909090909090909,0,9,26.972,785.898817819
earthquake,"decay, oracle",303,12789,30067,307.0,435.9,48.34,25241.2,86500.4,52117,156,310,5216,105,2,29.5,44.4,230.5,130.2,9467.3,86249.3,161.0,604.2,42996.6,0,0,5004,0,107,946,0.9556025369978859,0,20,27.014,739.553648476,946,0.8985200845665962,19,20,31.958,599.015686105,202,0.8613861386138614,0,18,25.177,834.100540181,202,0.8564356435643564,1,18,27.014,877.419754341,946,0.8562367864693446,0,113,27.014,697.4,946,0.773784355179704,19,113,31.958,614.5,168,0.9464285714285714,0,4,27.034,827.154737804
earthquake,"decay, oracle",404,14371,31601,322.2,441.3,48.15,22677.8,86437.4,55497,242,326,5401,151,4,34.5,54.3,255.6,76.4,8141.7,86055.8,566.9,1998.0,38131.9,0,0,5138,0,112,1608,0.9166666666666666,0,39,28.42,740.636467471,1608,0.7947761194029851,22,39,36.006,692.527354826,263,0.870722433460076,0,25,25.502,956.432500132,263,0.8250950570342205,1,25,29.183,1004.223448818,1608,0.8488805970149254,0,142,28.42,712.7,1608,0.724502487562189,22,142,36.006,684.6,323,0.9473684210526315,0,6,28.18,728.640827094
