day,local cap,cloud cap,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 24,cloud 60,101,24,24,1.0,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.2,0,0,0,0,0
workday,local 24,cloud 60,202,15,15,0.6,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.3,0,0,0,0,0
workday,local 24,cloud 60,303,9,9,0.6,360.4,24.01,90.6,428.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,277.9,571.5,286.4,0,0,0,0,0
workday,local 24,cloud 60,404,7,7,1.0,365.9,24.0,83.5,373.3,0,0,0,2212,55,0,37.1,95.5,123.8,,38.6,96.3,237.5,557.1,258.4,0,0,0,0,0
workday,local 24,cloud 200,101,24,24,1.0,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.2,0,0,0,0,0
workday,local 24,cloud 200,202,15,15,0.6,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.3,0,0,0,0,0
workday,local 24,cloud 200,303,9,9,0.6,360.4,24.01,90.6,428.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,277.9,571.5,286.4,0,0,0,0,0
workday,local 24,cloud 200,404,7,7,1.0,365.9,24.0,83.5,373.3,0,0,0,2212,55,0,37.1,95.5,123.8,,38.6,96.3,237.5,557.1,258.4,0,0,0,0,0
rock burst,local 8,cloud 0,101,43891,43891,0.0,418.0,52.3,53197.5,126009.7,0,11619,0,2986,57,0,21603.7,62866.6,63188.5,,19418.7,62082.1,103750.8,127175.3,113606.0,0,0,0,0,0
rock burst,local 8,cloud 0,202,46490,46490,0.0,432.5,54.21,56154.6,130903.4,0,12364,0,3086,75,0,14852.3,64870.9,65092.2,,20276.1,64484.8,122424.5,135220.4,120512.3,0,0,0,0,0
rock burst,local 8,cloud 0,303,46903,46903,0.0,435.3,54.52,56971.5,132510.5,0,12441,0,3103,76,1,15516.7,64928.4,66261.6,35251.4,20291.7,65820.2,118125.6,134199.0,122912.2,0,0,0,0,0
rock burst,local 8,cloud 0,404,43821,43821,0.0,421.1,52.67,53693.4,126795.1,0,11715,0,3001,63,0,16636.7,60605.5,61764.2,,18955.2,61525.4,108830.5,127477.1,115888.8,0,0,0,0,0
rock burst,local 8,cloud 20,101,14667,14667,181.4,244.1,48.08,14560.7,86149.0,0,1133,0,2986,57,0,649.7,3243.8,6281.7,,910.9,6104.6,47620.3,86446.1,50793.5,0,0,0,0,0
rock burst,local 8,cloud 20,202,14571,14571,193.5,244.0,48.25,13911.3,86193.6,0,1098,0,3086,75,0,464.1,4381.1,5004.4,,766.3,5399.4,54162.7,86575.1,48548.4,0,0,0,0,0
rock burst,local 8,cloud 20,303,14165,14165,200.7,239.6,48.22,13170.5,85994.4,0,1118,0,3103,76,1,643.2,5862.0,5979.9,3466.4,753.5,5321.2,42056.6,86566.4,45646.7,0,0,0,0,0
rock burst,local 8,cloud 20,404,14337,14337,185.1,242.5,47.97,13976.0,86183.4,0,1100,0,3001,63,0,559.3,4910.1,5916.0,,795.3,5359.6,46447.2,86484.1,48376.4,0,0,0,0,0
rock burst,local 8,cloud 60,101,7461,7461,194.7,230.8,48.08,10372.6,85539.7,0,231,0,2986,57,0,67.1,158.1,764.7,,163.2,1214.4,37786.3,86448.1,38133.1,0,0,0,0,0
rock burst,local 8,cloud 60,202,7019,7019,218.5,221.8,48.25,7864.0,52522.1,0,223,0,3086,75,0,114.3,719.3,1479.4,,143.0,1087.9,33266.1,86545.1,28711.9,0,0,0,0,0
rock burst,local 8,cloud 60,303,6337,6337,225.9,217.7,48.08,6746.0,35014.3,0,214,0,3103,76,1,110.5,850.9,1111.4,1111.4,145.6,1027.8,22328.9,79612.5,24643.1,0,0,0,0,0
rock burst,local 8,cloud 60,404,6429,6429,206.4,221.2,47.98,8017.3,49372.9,0,210,0,3001,63,0,78.4,177.7,741.0,,139.1,1049.8,26303.8,78056.8,29309.4,0,0,0,0,0
rock burst,local 8,cloud 200,101,2843,2843,205.9,219.6,48.05,6933.9,48035.2,0,36,0,2986,57,0,60.5,191.7,344.7,,65.5,211.2,25306.3,72716,25744.1,0,0,0,0,0
rock burst,local 8,cloud 200,202,2308,2308,228.6,211.8,43.42,4674.9,25294.0,0,34,0,3086,75,0,59.3,228.0,344.3,,62.4,201.2,20524.5,61982.2,17281.4,0,0,0,0,0
rock burst,local 8,cloud 200,303,2667,2667,239.8,208.5,39.42,3830.9,21733.9,0,37,0,3103,76,1,70.2,211.5,376.4,376.4,66.6,218.6,13213.6,46627.5,14138.7,0,0,0,0,0
rock burst,local 8,cloud 200,404,2255,2255,216.1,211.4,42.04,4810.5,24316.0,0,32,0,3001,63,0,62.7,175.2,314.6,,64.8,199.9,16855.3,42881.8,17728.2,0,0,0,0,0
rock burst,local 12,cloud 0,101,31415,31415,0.0,428.4,48.08,30091.6,88717.7,0,5694,0,2986,57,0,9854.2,30450.8,31040.8,,8994.4,31345.6,63702.6,89645.3,72786.8,0,0,0,0,0
rock burst,local 12,cloud 0,202,32264,32264,0.0,438.6,48.25,30270.2,88191.0,0,5910,0,3086,75,0,6387.9,30355.9,31974.5,,9092.0,31439.7,70643.9,89261.7,72646.3,0,0,0,0,0
rock burst,local 12,cloud 0,303,32847,32847,0.0,441.3,48.1,30541.7,88412.3,0,6114,0,3103,76,1,7130.1,32872.4,33363.2,13576.4,9066.5,32659.2,64972.1,89619.9,73006.2,0,0,0,0,0
rock burst,local 12,cloud 0,404,31062,31062,0.0,430.7,47.98,29713.3,87905.4,0,5690,0,3001,63,0,8015.3,31437.7,31532.9,,8876.8,31309.4,63386.2,88848.8,71050.0,0,0,0,0,0
rock burst,local 12,cloud 20,101,12138,12138,114.4,317.5,48.08,11594.2,84671.0,0,810,0,2986,57,0,292.9,1919.7,4871.7,,651.2,4784.2,38910.5,86461.1,40662.1,0,0,0,0,0
rock burst,local 12,cloud 20,202,12439,12439,122.3,321.4,48.25,11411.2,85574.5,0,819,0,3086,75,0,343.5,3214.3,4149.4,,540.8,4254.3,46595.3,86545.1,40175.1,0,0,0,0,0
rock burst,local 12,cloud 20,303,12000,12000,128.4,319.1,48.1,10646.3,75724.3,0,832,0,3103,76,1,433.2,4422.0,4765.9,2896.4,536.1,4184.2,33437.0,86580.6,37275.2,0,0,0,0,0
rock burst,local 12,cloud 20,404,11825,11825,117.3,318.5,47.97,10885.4,77257.9,0,815,0,3001,63,0,368.8,3245.1,4671.0,,561.2,4210.5,33708.8,86333.9,38076.7,0,0,0,0,0
rock burst,local 12,cloud 60,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
rock burst,local 12,cloud 60,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0
rock burst,local 12,cloud 60,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0
rock burst,local 12,cloud 60,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0
rock burst,local 12,cloud 200,101,2347,2347,136.4,295.5,39.75,4366.4,24188.6,0,35,0,2986,57,0,56.8,176.7,329.7,,60.7,198.5,15209.5,32831,16220.6,0,0,0,0,0
rock burst,local 12,cloud 200,202,2210,2210,144.5,299.2,42.2,4419.7,23044.4,0,33,0,3086,75,0,55.3,198.0,344.3,,58.4,192.3,19421.3,57587.2,16337.9,0,0,0,0,0
rock burst,local 12,cloud 200,303,2577,2577,161.1,295.4,36.22,3411.2,20522.5,0,36,0,3103,76,1,61.8,194.1,376.4,376.4,62.6,203.1,11765.7,35122.5,12576.5,0,0,0,0,0
