areas,mix,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
4 faces,mostly working,off,101,10,10,49.0,283.5,24.08,319.9,2451.7,0,0,0,2207,106,0,47.6,134.8,237.0,,46.3,127.9,682.2,2394.4,1118.2,0,0,0,0,0,331,0.9335347432024169,0,8,36.714,524.34568005,331,0.716012084592145,6,8,56.952,485.063296089,426,0.9624413145539906,0,9,33.975,1728.366,426,0.9061032863849765,0,9,38.796,1714.769,331,0.7069486404833837,0,91,36.714,476.3,331,0.5377643504531722,6,91,56.952,441.9,85,0.9411764705882353,0,1,33.97,664.00065404
4 faces,mostly working,off,202,23,23,49.4,283.1,24.04,634.2,4255.5,0,0,0,2268,103,0,41.8,99.5,154.1,,47.1,129.7,2322.5,5057.8,2235.5,0,0,0,0,0,118,0.9661016949152542,0,1,38.308,726.991276059,118,0.6949152542372882,0,1,78.781,668.813799496,351,0.9829059829059829,0,4,35.375,1733.891,351,0.8774928774928775,0,4,39.777,1731.101,118,0.8898305084745762,0,8,38.308,744.9,118,0.6186440677966102,0,8,78.781,736.7,58,0.9655172413793104,0,1,37.971,816.957782172
4 faces,mostly working,off,303,19,19,45.9,282.4,24.03,341.9,2844.9,0,0,0,2188,95,0,45.6,119.4,179.7,,44.3,116.5,770.5,2523.3,1205.8,0,0,0,0,0,232,0.9094827586206896,0,6,37.842,646.868318838,232,0.7629310344827587,1,6,47.456,621.442595389,349,0.9541547277936963,0,8,37.202,1731.64,349,0.9312320916905444,0,8,40.918,1728.802,232,0.771551724137931,0,43,37.842,641.6,232,0.6681034482758621,1,43,47.456,559.3,91,0.9340659340659341,0,2,38.779,894.863925266
4 faces,mostly working,off,404,7,7,40.3,283.5,24.05,221.1,1544.6,0,0,0,2072,126,0,44.0,108.2,217.5,,44.3,114.0,402.0,1389.8,742.8,0,0,0,0,0,138,0.927536231884058,0,3,36.424,761.338766634,138,0.7753623188405797,0,3,46.371,665.097983105,371,0.9865229110512129,0,2,35.658,1733.285,371,0.9865229110512129,0,2,39.73,1730.076,138,0.8188405797101449,0,25,36.424,671.9,138,0.6666666666666666,0,25,46.371,582.7,100,0.9,0,3,35.708,846.239623286
4 faces,mostly working,decay,101,353,3521,41.0,283.4,24.09,595.1,4697.3,11180,0,20,2207,106,0,38.9,84.4,176.4,,38.2,79.4,423.6,1428.5,1429.6,11,0,1612,0,500,331,0.9395770392749244,0,8,36.21,518.490694735,331,0.7220543806646526,6,8,53.444,456.497930083,426,0.9624413145539906,0,9,31.062,1730.262,426,0.9154929577464789,0,9,37.678,1727.295,331,0.7069486404833837,0,91,36.21,476.3,331,0.5468277945619335,6,91,53.444,411.1,85,0.9529411764705882,0,1,34.224,703.230157825
4 faces,mostly working,decay,202,575,4386,42.1,283.8,24.05,1121.0,7703.9,11557,0,44,2268,103,0,36.4,69.3,101.1,,39.5,86.9,633.4,3056.8,2635.4,12,0,1626,0,551,118,0.9661016949152542,0,1,35.851,740.492036977,118,0.788135593220339,0,1,44.827,729.685894561,351,0.9829059829059829,0,4,32.847,1735.932,351,0.9259259259259259,0,4,36.758,1732.066,118,0.8898305084745762,0,8,35.851,744.4,118,0.6949152542372882,0,8,44.827,714.7,58,0.9655172413793104,0,1,39.253,809.483254962
4 faces,mostly working,decay,303,488,3544,37.3,282.2,24.02,844.2,5862.2,10649,0,40,2188,95,0,38.6,78.3,102.1,,36.8,72.2,639.0,5577.7,2015.2,12,0,1556,0,549,232,0.9137931034482759,0,6,36.33,670.385514794,232,0.7241379310344828,1,6,53.504,599.417949257,349,0.9570200573065902,0,8,36.953,1731.447,349,0.8939828080229226,0,8,40.689,1726.75,232,0.771551724137931,0,43,36.33,645.1,232,0.6120689655172413,1,43,53.504,580.6,91,0.945054945054945,0,2,33.153,886.372084733
4 faces,mostly working,decay,404,169,3130,32.5,283.2,24.05,378.3,3183.0,9815,0,12,2072,126,0,39.0,78.2,123.5,,37.3,71.6,266.6,645.6,881.3,22,0,1388,0,580,138,0.927536231884058,0,3,34.47,761.338766634,138,0.8115942028985508,0,3,44.224,665.097983105,371,0.9892183288409704,0,2,35.658,1733.285,371,0.9811320754716981,0,2,39.73,1729.622,138,0.8188405797101449,0,25,34.47,671.9,138,0.6376811594202898,0,25,44.224,640,100,0.9,0,3,34.47,846.239623286
8 faces,mostly blasting,off,101,799,799,84.1,239.6,24.01,3283.7,20736.0,0,75,0,2138,50,0,45.0,107.8,117.0,,62.0,233.6,12264.9,20872.5,12160.8,0,0,0,0,0,262,0.916030534351145,0,12,35.453,509.701916618,262,0.5954198473282443,4,12,49.326,518.229855692,126,0.9365079365079365,0,6,40.166,1722.293,126,0.6825396825396826,0,6,42.383,1722.91,262,0.7633587786259542,0,49,35.453,525.2,262,0.48854961832061067,4,49,49.326,538.5,91,0.9120879120879121,0,0,36.937,626.05498489
8 faces,mostly blasting,off,202,3041,3041,90.5,240.6,24.0,4298.3,24789.2,0,146,0,2218,71,0,45.5,102.4,162.9,,73.1,331.9,14774.8,24878.2,15646.5,0,0,0,0,0,127,0.9133858267716536,0,4,39.29,568.373735202,127,0.6062992125984252,1,4,47.59,568.373735202,175,0.9657142857142857,0,0,37.507,1731.488,175,0.7828571428571428,0,0,40.622,1731.101,127,0.8503937007874016,0,14,39.29,552.1,127,0.5590551181102362,1,14,47.59,552.1,53,0.8867924528301887,0,2,38.157,871.215901275
8 faces,mostly blasting,off,303,3156,3156,93.0,240.4,24.02,3838.2,22079.0,0,161,0,2233,72,0,43.7,93.6,143.7,,79.6,352.1,12266.4,22473.4,13867.4,0,0,0,0,0,242,0.9380165289256198,0,6,36.798,584.921476937,242,0.6983471074380165,0,6,49.983,542.121225884,162,0.9012345679012346,0,8,38.423,1713.351,162,0.7160493827160493,0,8,45.619,1685.706,242,0.8057851239669421,0,35,36.798,565.8,242,0.5991735537190083,0,35,49.983,498,92,0.9239130434782609,0,3,32.46,787.937201404
8 faces,mostly blasting,off,404,98,98,89.2,237.4,24.05,2649.5,16134.5,0,53,0,2112,78,0,43.4,107.9,207.2,,63.9,194.1,8843.6,16428.5,9789.6,0,0,0,0,0,231,0.8831168831168831,0,8,35.98,453.64008107,231,0.6233766233766234,0,8,61.413,483.148651039,150,0.94,0,4,38.044,1721.039,150,0.7466666666666667,0,4,43.497,1715.769,231,0.7142857142857143,0,60,35.98,418.2,231,0.48484848484848486,0,60,61.413,424.7,81,0.9012345679012346,0,1,38.338,924.503147907
8 faces,mostly blasting,decay,101,1244,3609,84.3,241.1,24.01,3200.1,22110.3,11612,17,115,2138,50,0,38.1,61.8,86.2,,40.1,86.2,2067.0,16638.7,8345.8,6,0,1728,0,365,262,0.9236641221374046,0,12,35.447,524.701916618,262,0.6946564885496184,4,12,42.383,502.422465695,126,0.9444444444444444,0,6,36.114,1727.617,126,0.8253968253968254,0,6,41.267,1709.994,262,0.7786259541984732,0,49,35.447,538.8,262,0.5877862595419847,4,49,42.383,525.2,91,0.9230769230769231,0,0,34.278,642.380675061
8 faces,mostly blasting,decay,202,1440,4447,91.0,241.8,24.0,4263.5,27967.3,12345,54,78,2218,71,0,40.2,75.5,162.9,,41.5,87.6,2771.5,17005.8,10753.7,8,0,1815,0,340,127,0.9212598425196851,0,4,38.157,572.877744693,127,0.7165354330708661,1,4,49.134,622.210723934,175,0.9657142857142857,0,0,37.268,1731.101,175,0.8628571428571429,0,0,40.622,1729.784,127,0.8661417322834646,0,14,38.157,552.1,127,0.6692913385826772,1,14,49.134,612.5,53,0.8867924528301887,0,2,36.601,888.80963521
8 faces,mostly blasting,decay,303,1548,4502,97.8,240.3,24.02,3174.3,20000.4,12949,59,79,2233,72,0,38.3,62.3,191.3,,42.6,93.7,1422.3,9487.2,7930.1,11,0,1843,0,329,242,0.9421487603305785,0,6,31.905,595.076935627,242,0.7892561983471075,0,6,43.731,601.103040057,162,0.9012345679012346,0,8,37.953,1718.048,162,0.8333333333333334,0,8,40.01,1701.577,242,0.8099173553719008,0,35,31.905,573,242,0.6818181818181818,0,35,43.731,572.7,92,0.9239130434782609,0,3,30.86,824.072365437
8 faces,mostly blasting,decay,404,1112,3541,90.4,236.8,24.05,2555.3,18041.4,10920,22,48,2112,78,0,36.9,70.2,162.2,,41.0,82.5,1149.8,10523.4,6534.7,11,0,1654,0,390,231,0.8917748917748918,0,8,32.745,451.529425117,231,0.7402597402597403,0,8,47.002,423.785450587,150,0.9466666666666667,0,4,35.513,1726.503,150,0.8333333333333334,0,4,38.84,1725.03,231,0.7142857142857143,0,60,32.745,418.9,231,0.5800865800865801,0,60,47.002,435.4,81,0.9259259259259259,0,1,33.543,878.648554795
8 faces,balanced,off,101,45,45,62.8,275.0,24.02,781.8,7205.8,0,11,0,2166,60,2,45.2,95.0,173.7,73.1,45.0,121.2,2426.5,7811.2,2868.6,0,0,0,0,0,253,0.9209486166007905,0,9,33.572,546.648411205,253,0.6996047430830039,1,9,42.477,546.648411205,169,0.9349112426035503,0,5,38.374,1726.536,169,0.8461538461538461,0,5,42.333,1718.899,253,0.7233201581027668,0,65,33.572,540.8,253,0.5454545454545454,1,65,42.477,540.5,98,0.9489795918367347,0,1,33.416,630.454645536
