jitter,day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,moderate.covered_share,moderate.false_share,moderate.mean_closed_share,moderate.peak_closed_share,moderate.complete_p50_s,moderate.complete_p95_s,moderate.never_complete,moderate wide.covered_share,moderate wide.false_share,moderate wide.mean_closed_share,moderate wide.peak_closed_share,moderate wide.complete_p50_s,moderate wide.complete_p95_s,moderate wide.never_complete,high.covered_share,high.false_share,high.mean_closed_share,high.peak_closed_share,high.complete_p50_s,high.complete_p95_s,high.never_complete,high wide.covered_share,high wide.false_share,high wide.mean_closed_share,high wide.peak_closed_share,high wide.complete_p50_s,high wide.complete_p95_s,high wide.never_complete
jitter 20 ms,workday,decay,101,903,4571,45.2,279.1,24.06,1116.5,8318.2,12640,0,37,2242,58,0,39.8,106.7,157.6,,39.1,82.9,840.7,4355.9,2567.8,21,0,1744,0,461,0.6938579348105343,0.6331401924935802,0.19303303911284914,0.6086203762989026,72.282,1430.874,397,0.9866456489124306,0.8760243155512965,0.8122428804608264,0.9904999642580359,0,109.987,2,0.30191116142129004,0.9961236576530861,0.025772283868900552,0.06828706205007493,73.361,789.492,13,0.944239660928262,0.9995098383296589,0.6374391802775068,0.8963743100046275,0,303.56,0
jitter 20 ms,workday,decay,202,747,3785,39.4,279.1,24.0,884.0,6290.6,11730,0,50,2165,54,0,34.7,61.6,75.0,,39.4,80.0,1176.6,8345.7,2082.4,18,0,1675,0,454,0.6689796185057838,0.6545798550733483,0.17952436321954326,0.4156928881757804,97.961,1339.661,391,0.9859556577944599,0.8876935040269527,0.8137868667687765,0.989212565203077,0,101.825,3,0.3334583808454902,0.9968743702420695,0.026479716049348855,0.05259340673580315,203.887,1206.895,7,0.9650613718977592,0.9996270032160992,0.6421833851064442,0.8513989060432148,0,510.929,0
jitter 20 ms,workday,decay,303,887,4065,44.4,279.0,24.03,1709.0,13350.2,11863,0,49,2206,70,0,34.5,58.9,74.2,,38.1,80.3,2005.3,14392.8,3939.6,25,0,1697,0,464,0.7078824602797009,0.6052461024163682,0.21659788918082937,0.7198990896632234,108.424,1363.392,353,0.9799458846209985,0.856204002698664,0.8231420559065588,0.9865472110536533,0,107.186,5,0.36278396868232804,0.9968255739643161,0.02652425577097383,0.057196430008351326,44.518,429.799,7,0.9391145819133057,0.9996593449527768,0.6398292471625973,0.8886185632081091,0,68.604,0
jitter 20 ms,workday,decay,404,1097,4185,46.7,276.9,24.0,1275.0,10448.9,12264,0,71,2212,55,0,36.5,83.7,113.1,,40.5,87.8,1822.6,11194.2,2887.6,27,0,1749,0,435,0.6718126651065247,0.6799357959817309,0.1817065583893687,0.4875253420838456,109.884,1528.281,373,0.9821571213913327,0.8941379647673725,0.8031566357385787,0.9905855963912223,0,140.22,8,0.13180431484164631,0.9986385236445424,0.026343711368886497,0.05632741728098852,708.678,1127.774,12,0.9634954942655252,0.999588536061179,0.6371993790251972,0.8991658123809482,0,764.655,0
jitter 20 ms,earthquake,off,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0,0.8188087490602403,0.4839505648168225,0.30615396593458777,1.0000000000000098,0,961.303,353,0.9902112459032162,0.7700823038106711,0.8310060344140828,0.9999999999999931,0,28.844,7,0.9670389345864084,0.7468964676785438,0.05516265936095745,0.7361237162309481,29.937,569.673,11,0.9944313016973606,0.9785067545119458,0.6679934877023049,0.9716147304540582,0,29.937,0
jitter 20 ms,earthquake,off,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0,0.7190900033728792,0.46410343268415466,0.2792704112864494,1.000000000000003,0,988.219,392,0.9837414310398822,0.7499183947938973,0.8186944807451103,1.0000000000000073,0,26.17,10,0.5823093284097691,0.8540888057576256,0.04382656758476949,0.4941797872658961,0,1032.512,19,0.9623421207451432,0.9836645430965295,0.6469497242679555,0.9550952870947323,0,47.455,0
jitter 20 ms,earthquake,off,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0,0.7219059983935358,0.4509336270313361,0.27901244648623214,1.000000000000003,0,956.65,385,0.9801214504859865,0.7443311887889525,0.8135231488179803,0.9999999999999992,0,27.017,10,0.8872688255335534,0.783222573654216,0.057684995107921334,0.9324115851924841,0,1282.13,13,0.9928021130019851,0.9787120058312603,0.6572788285370522,1.0000000000000062,0,382.569,0
jitter 20 ms,earthquake,off,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0,0.7832298679342289,0.45298104414244056,0.3280862614536308,1,0,893.554,352,0.9857020039178426,0.7391333712896997,0.8658213568397286,1.0000000000000324,0,19.759,9,0.5676300499182017,0.8208289235527705,0.05154899771177827,0.7136532408543412,0,476.21,17,0.8938991639369155,0.9789098417700308,0.6896542911911657,0.957422408467566,0,232.067,1
jitter 20 ms,earthquake,decay,101,17461,23215,337.1,396.8,47.98,17484.9,86265.2,37374,485,268,5167,97,1,51.7,150.0,936.8,29.9,149.7,1048.7,15347.4,85627.5,42200.6,35,0,4790,0,314,0.8385880940948882,0.4798106638743063,0.31105412818867323,1.0000000000000326,0,1008.887,299,0.993123288973501,0.7703030570461593,0.8342508798537076,0.9999999999999992,0,25.808,1,0.9646947975030259,0.7613154437796074,0.05835325124422848,0.7361237162309477,0,1039.944,10,0.996586871624097,0.9785011357628114,0.6692664985057883,0.9722873699013773,0,32.284,0
jitter 20 ms,earthquake,decay,202,19598,25421,330.8,414.9,48.11,20791.0,86566.5,37602,375,132,5249,137,2,177.0,1278.4,1372.5,392.5,152.7,1195.3,23294.2,86404.2,46328.1,60,0,4845,0,327,0.7650497343283866,0.4472790989606568,0.2880755697394954,1.000000000000002,0,1118.043,363,0.9828423261214573,0.7514728929653114,0.8230623485624039,1.0000000000000098,0,27.799,15,0.4290257304639035,0.8922310426928926,0.04371817074688315,0.32715838250075824,0,929.117,16,0.9474249395731486,0.9840470597800424,0.6521933982689819,0.8929615022545264,0,47.455,0
