blasting,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
"night, four blasts","decay, oracle",303,727,10980,45.8,271.1,24.02,2449.2,8256.7,23758,0,76,2170,77,1,32.0,55.6,60.3,29.0,758.3,6993.8,102.3,209.5,3780.4,0,0,2067,0,26,189,0.9047619047619048,0,9,30.578,437.444245879,189,0.8571428571428571,2,9,40.669,353.2322266,272,0.9705882352941176,0,5,32.325,1735.657,272,0.9705882352941176,1,5,35.056,1733.729,189,0.6666666666666666,0,49,30.578,424.3,189,0.5873015873015873,2,49,40.669,375.1,87,0.9080459770114943,0,5,28.984,463.809134955
"night, four blasts","decay, oracle",404,471,10453,40.3,266.7,24.06,2374.8,8202.5,22711,0,51,2067,105,1,32.7,48.9,71.5,29.8,780.7,6875.1,98.7,174.7,3596.3,0,0,1948,0,14,126,0.9444444444444444,0,1,31.519,722.051347006,126,0.9047619047619048,0,1,37.412,677.792628612,314,0.9840764331210191,0,4,30.34,1738.581,314,0.9840764331210191,0,4,39.687,1729.805,126,0.7698412698412699,0,22,31.519,735.4,126,0.7222222222222222,0,22,37.412,673.5,82,0.9390243902439024,0,1,32.863,660.314944042
"day, four blasts",off,101,54,54,63.1,271.3,24.12,784.1,6697.1,0,8,0,2166,101,2,40.6,87.0,179.7,23.0,45.5,123.5,2068.9,7066.9,2853.7,0,0,0,0,0,267,0.8913857677902621,0,16,36.522,559.493205194,267,0.7078651685393258,3,16,57.186,570.326630316,366,0.9562841530054644,0,8,32.209,1731.401,366,0.855191256830601,0,8,40.958,1725.063,267,0.6853932584269663,0,74,36.522,557.1,267,0.5692883895131086,3,74,57.186,545.1,73,0.958904109589041,0,1,36.419,819.139780174
"day, four blasts",off,202,28,28,68.3,274.5,24.28,1001.4,7638.5,0,2,0,2230,126,0,49.3,146.8,184.9,,49.7,149.9,2387.8,8551.7,3621.0,0,0,0,0,0,157,0.9363057324840764,0,6,36.283,571.255628503,157,0.7579617834394905,0,6,54.657,528.218383108,394,0.9593908629441624,0,9,38.532,1728.664,394,0.883248730964467,0,9,50.631,1718.401,157,0.8280254777070064,0,19,36.283,549,157,0.6687898089171974,0,19,54.657,494.3,64,0.9375,0,3,32.962,720.555628503
"day, four blasts",off,303,115,115,62.1,272.8,24.32,1071.8,8175.0,0,7,0,2170,93,0,43.4,105.5,140.7,,44.0,112.5,3019.2,8815.5,3851.2,0,0,0,0,0,213,0.8779342723004695,0,13,37.184,522.548699786,213,0.6572769953051644,1,13,46.799,474.468698882,299,0.9632107023411371,0,5,34.558,1733.71,299,0.8896321070234113,2,5,40.461,1729.08,213,0.6901408450704225,0,63,37.184,490.3,213,0.5023474178403756,1,63,46.799,451.1,103,0.8932038834951457,0,4,35.569,698.861677188
"day, four blasts",off,404,7,7,59.6,270.0,24.05,838.3,6889.7,0,5,0,2067,95,0,41.2,114.2,205.5,,49.6,126.2,1680.7,6865.7,3013.3,0,0,0,0,0,101,0.9504950495049505,0,4,29.734,777.138406785,101,0.7425742574257426,4,4,42.078,632.291767528,286,0.986013986013986,0,1,30.987,1738.202,286,0.9090909090909091,0,1,38.849,1732.52,101,0.7821782178217822,0,20,29.734,861.4,101,0.5841584158415841,4,20,42.078,787.5,78,0.9358974358974359,0,4,29.154,755.859381
"day, four blasts",decay,101,470,3594,57.3,274.7,24.53,1224.0,8830.0,10961,5,52,2166,101,2,34.8,73.8,134.7,23.0,37.9,79.0,736.6,4487.4,2923.2,16,0,1671,0,410,267,0.9063670411985019,0,16,33.972,519.353767829,267,0.7490636704119851,2,16,41.923,570.326630316,366,0.9590163934426229,0,8,29.703,1735.674,366,0.8797814207650273,0,8,34.415,1731.401,267,0.6928838951310862,0,74,33.972,558.6,267,0.5917602996254682,2,74,41.923,558.6,73,0.958904109589041,0,1,41.068,819.139780174
"day, four blasts",decay,202,640,3626,62.4,277.9,28.09,1502.3,11652.0,10938,0,75,2230,126,0,40.6,86.8,115.2,,40.3,88.1,798.6,1581.7,3555.3,21,0,1588,0,537,157,0.9363057324840764,0,6,32.551,571.255628503,157,0.7770700636942676,0,6,51.022,479.641029178,394,0.9593908629441624,0,9,36.108,1732.863,394,0.9086294416243654,0,9,41.601,1727.017,157,0.8343949044585988,0,19,32.551,549.8,157,0.6751592356687898,0,19,51.022,445.8,64,0.9375,0,3,30.098,720.555628503
"day, four blasts",decay,303,592,3031,57.4,274.3,26.19,1375.4,11080.7,10566,1,54,2170,93,0,36.5,90.3,100.4,,37.4,75.9,890.8,9100.9,3272.5,17,0,1590,0,502,213,0.8826291079812206,0,13,31.378,519.395102233,213,0.7323943661971831,1,13,39.889,494.881186608,299,0.9632107023411371,0,5,31.722,1735.889,299,0.903010033444816,2,5,35.929,1732.816,213,0.6901408450704225,0,63,31.378,513.6,213,0.5586854460093896,1,63,39.889,518.6,103,0.8932038834951457,0,4,31.722,683.861677188
"day, four blasts",decay,404,560,3123,53.9,269.6,24.12,1228.6,9363.2,10372,0,49,2067,95,0,37.7,75.1,250.3,,38.7,84.4,722.9,7090.3,2966.5,19,0,1563,0,428,101,0.9504950495049505,0,4,29.734,777.138406785,101,0.7524752475247525,4,4,42.078,755.859381,286,0.986013986013986,0,1,31.798000000000002,1737.515,286,0.9405594405594405,0,1,41.945,1728.055,101,0.7722772277227723,0,20,29.734,876.4,101,0.6138613861386139,4,20,42.078,799.2,78,0.9358974358974359,0,4,29.154,763.795585006
"day, four blasts","decay, oracle",101,480,9546,47.7,279.3,27.05,2314.6,8257.1,23266,0,65,2166,101,2,31.0,47.3,58.3,30.5,745.3,7551.5,99.4,168.4,3546.7,0,0,2031,0,34,267,0.9063670411985019,0,16,29.915,518.119734335,267,0.8764044943820225,0,16,36.522,507.76103413,366,0.9617486338797814,0,8,31.137,1736.083,366,0.953551912568306,0,8,33.355,1733.157,267,0.700374531835206,0,74,29.915,528.8,267,0.6816479400749064,0,74,36.522,502.9,73,0.958904109589041,0,1,32.133,774.139780174
"day, four blasts","decay, oracle",202,631,10669,50.5,282.7,31.66,2965.4,9271.2,24354,0,85,2230,126,0,34.1,57.3,86.8,,952.3,8626.7,103.2,176.8,4462.8,0,0,2091,0,13,157,0.9426751592356688,0,6,30.266,495.555628503,157,0.8853503184713376,0,6,42.981,465.603839039,394,0.9644670050761421,0,9,32.143,1736.512,394,0.9644670050761421,0,9,37.564,1729,157,0.8343949044585988,0,19,30.266,445.6,157,0.7770700636942676,0,19,42.981,407.6,64,0.9375,0,3,31.959,495.555628503
"day, four blasts","decay, oracle",303,793,9160,47.0,279.3,28.14,2467.8,8985.1,23372,0,93,2170,93,0,30.5,46.2,59.5,,706.1,8080.7,92.0,143.5,3782.8,0,0,2045,0,32,213,0.892018779342723,0,13,30.535,425.411670793,213,0.8450704225352113,1,13,35.686,355.328434759,299,0.9698996655518395,0,5,28.112,1739.496,299,0.9632107023411371,2,5,33.661,1733.71,213,0.6901408450704225,0,63,30.535,427.1,213,0.647887323943662,1,63,35.686,347.8,103,0.912621359223301,0,4,28.278,576.028637908
"day, four blasts","decay, oracle",404,831,9107,44.8,271.9,25.95,2169.0,7710.4,22427,0,100,2067,95,0,30.4,48.6,119.1,,751.3,7046.9,100.4,175.6,3323.9,0,0,1956,0,16,101,0.9504950495049505,0,4,27.078,590.371723598,101,0.8910891089108911,4,4,33.781,380.102543896,286,0.993006993006993,0,1,26.986,1742.546,286,0.993006993006993,0,1,37.733,1732.19,101,0.7623762376237624,0,20,27.078,754.1,101,0.7128712871287128,4,20,33.781,516.5,78,0.9358974358974359,0,4,25.024,652.989204311
