day,local cap,holding,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 24,cloud window 0,202,15,15,0.6,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.3,0,0,0,0,0
workday,local 24,cloud window 0,303,9,9,0.6,360.4,24.01,90.6,428.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,277.9,571.5,286.4,0,0,0,0,0
workday,local 24,cloud window 0,404,7,7,1.0,365.9,24.0,83.5,373.3,0,0,0,2212,55,0,37.1,95.5,123.8,,38.6,96.3,237.5,557.1,258.4,0,0,0,0,0
workday,local 24,cloud window 15 min,101,24,24,1.7,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.1,0,0,0,0,0
workday,local 24,cloud window 15 min,202,15,15,1.1,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.2,0,0,0,0,0
workday,local 24,cloud window 15 min,303,9,9,1.1,360.4,24.01,90.1,427.7,0,0,0,2206,70,0,32.6,59.2,97.4,,38.2,98.2,277.5,571.5,284.5,0,0,0,0,0
workday,local 24,cloud window 15 min,404,7,7,1.8,365.9,24.0,83.2,372.1,0,0,0,2212,55,0,36.5,95.5,123.8,,38.6,96.3,234.5,557.1,257.6,0,0,0,0,0
workday,local 24,cloud window 30 min,101,24,24,3.7,372.2,24.05,84.6,398.1,0,0,0,2242,58,0,39.0,112.6,166.7,,38.9,100.2,239.4,784.9,264.2,0,0,0,0,0
workday,local 24,cloud window 30 min,202,15,15,2.3,355.6,24.0,88.4,404.9,0,0,0,2165,54,0,37.7,90.0,129.5,,39.4,101.7,275.5,778.5,276.3,0,0,0,0,0
workday,local 24,cloud window 30 min,303,9,9,2.4,360.4,24.01,88.3,426.0,0,0,0,2206,70,0,32.2,58.3,97.4,,38.1,98.2,270.9,571.5,279.3,0,0,0,0,0
workday,local 24,cloud window 30 min,404,7,7,3.3,365.9,24.0,80.8,359.7,0,0,0,2212,55,0,36.5,95.5,123.8,,38.4,95.5,233.7,557.1,249.5,0,0,0,0,0
workday,local 24,cloud window 60 min,101,24,24,7.6,371.6,24.05,83.4,393.4,0,0,0,2242,58,0,39.0,112.6,166.7,,38.7,100.0,236.9,784.9,260.2,0,0,0,0,0
workday,local 24,cloud window 60 min,202,15,15,4.8,355.3,24.0,85.9,402.5,0,0,0,2165,54,0,37.5,90.0,129.5,,39.1,99.1,267.2,686.3,268.1,0,0,0,0,0
workday,local 24,cloud window 60 min,303,9,9,4.6,360.4,24.01,86.4,418.3,0,0,0,2206,70,0,32.2,58.3,97.4,,37.9,96.9,257.6,571.5,273.6,0,0,0,0,0
workday,local 24,cloud window 60 min,404,7,7,6.3,365.5,24.0,77.4,349.1,0,0,0,2212,55,0,36.3,95.5,123.8,,37.9,93.4,216.5,503.1,239.0,0,0,0,0,0
workday,local 24,cloud lifetime 0,101,24,24,0.3,372.5,24.05,87.0,413.0,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.5,784.9,271.4,0,0,0,0,0
workday,local 24,cloud lifetime 0,202,15,15,0.2,355.6,24.0,89.0,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.6,101.7,283.3,778.5,278.0,0,0,0,0,0
workday,local 24,cloud lifetime 0,303,9,9,0.3,360.4,24.01,91.1,430.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,278.8,572.0,288.3,0,0,0,0,0
workday,local 24,cloud lifetime 0,404,7,7,0.4,365.9,24.0,83.7,374.6,0,0,0,2212,55,0,37.4,95.5,123.8,,38.6,96.3,237.8,557.1,259.4,0,0,0,0,0
workday,local 24,cloud lifetime 30 min,101,24,24,3.6,372.2,24.05,84.6,398.1,0,0,0,2242,58,0,39.0,112.6,166.7,,38.9,100.2,239.4,784.9,264.2,0,0,0,0,0
workday,local 24,cloud lifetime 30 min,202,15,15,2.3,355.6,24.0,88.4,404.9,0,0,0,2165,54,0,37.7,90.0,129.5,,39.4,101.7,275.5,778.5,276.3,0,0,0,0,0
workday,local 24,cloud lifetime 30 min,303,9,9,2.3,360.4,24.01,88.3,426.0,0,0,0,2206,70,0,32.2,58.3,97.4,,38.1,98.2,270.9,571.5,279.4,0,0,0,0,0
workday,local 24,cloud lifetime 30 min,404,7,7,2.8,366.0,24.0,81.5,365.1,0,0,0,2212,55,0,36.5,95.5,123.8,,38.4,95.5,233.7,557.1,252.1,0,0,0,0,0
workday,local 24,local window 0,101,6530,6530,4.2,309.5,48.45,21660.8,86501.1,0,0,0,2242,58,0,93.8,211.7,221.5,,88.8,212.1,78684.0,86692.3,81021.1,0,0,0,0,0
workday,local 24,local window 0,202,6246,6246,2.4,301.8,48.46,22130.9,86501.2,0,0,0,2165,54,0,88.6,218.1,223.8,,91.7,214.4,82187.5,86846.3,80817.7,0,0,0,0,0
workday,local 24,local window 0,303,6790,6790,2.9,305.9,48.33,21979.5,86503.2,0,0,0,2206,70,0,84.0,201.8,313.3,,86.4,212.7,82855.7,86620.2,80799.2,0,0,0,0,0
workday,local 24,local window 0,404,6532,6532,3.7,306.1,48.35,22004.6,86504.8,0,0,0,2212,55,0,88.6,213.8,260.5,,126.6,207.9,82162.1,86696.8,82172.7,0,0,0,0,0
workday,local 24,local window 60 min,101,20,20,0.7,445.7,24.02,43.9,192.2,0,0,0,2242,58,0,31.5,73.0,143.6,,30.8,62.5,131.9,429.1,145.1,0,0,0,0,0
workday,local 24,local window 60 min,202,6,6,0.4,417.0,24.0,47.2,210.5,0,0,0,2165,54,0,29.4,61.2,75.0,,32.1,63.6,142.5,413.9,154.1,0,0,0,0,0
workday,local 24,local window 60 min,303,4,4,0.2,416.9,24.0,49.4,220.6,0,0,0,2206,70,0,27.9,43.8,97.4,,31.7,62.1,167.6,472.8,161.6,0,0,0,0,0
workday,local 24,local window 60 min,404,6,6,0.6,429.3,24.0,46.2,207.3,0,0,0,2212,55,0,28.9,55.6,108.8,,31.4,59.6,132.3,319.2,151.4,0,0,0,0,0
rock burst,local 12,reference,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
rock burst,local 12,reference,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0
rock burst,local 12,reference,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0
