intent,knowledge,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"decay, clock restarts",truth,303,1,2080,36.2,31.6,14.39,5253.0,33714.0,6646,10,0,685,9,0,42.5,239.7,239.7,,1480.3,3060.9,105.9,329.7,9027.1,0,0,664,0,12
"decay, clock restarts",truth,404,9,1994,43.5,27.4,7.82,4167.6,22920.6,6606,11,0,701,43,0,29.2,45.8,299.5,,1022.0,2881.1,90.3,271.3,7491.9,0,0,628,0,30
"decay, clock restarts",truth,505,15,2951,36.0,35.4,17.93,7850.3,47088.9,7057,17,0,721,6,0,67.5,267.6,267.6,,1837.6,4552.1,195.0,402.6,14644.2,0,0,693,0,22
"decay, clock restarts",truth,606,37,1994,47.9,21.6,3.28,1914.1,8396.0,6240,16,0,690,16,1,72.4,269.8,269.8,29.9,634.7,3251.5,256.1,432.2,3275.4,0,0,664,0,10
promote,estimate,101,2923,2087,89.3,18.4,2.0,513.7,1543.3,983,80,0,688,11,0,105.7,560.5,560.5,,136.1,733.7,542.1,1580.5,885.8,0,6,0,95,670
promote,estimate,202,5350,2737,86.2,17.3,2.02,531.1,1821.0,2687,122,0,708,44,1,206.5,931.9,998.7,29.0,226.6,960.9,649.3,1871.8,829.8,0,27,0,265,658
promote,estimate,303,3033,2163,83.3,18.5,2.02,487.6,1520.9,885,83,0,685,9,0,77.5,359.7,359.7,,125.0,487.8,707.5,1528.7,880.3,0,2,0,88,672
promote,estimate,404,2660,1530,89.6,19.9,2.01,409.9,1406.5,1169,86,0,701,43,0,74.6,372.4,1414.5,,101.0,499.3,552.8,1421.8,738.0,0,21,0,130,652
promote,estimate,505,3860,2517,99.9,18.8,2.0,556.8,1749.6,1369,108,0,721,6,0,107.5,462.6,462.6,,136.7,548.9,835.0,1624.0,982.0,0,3,0,154,709
promote,estimate,606,2068,1673,86.9,19.9,2.03,421.1,1343.1,397,64,0,690,16,1,78.9,419.8,419.8,29.9,91.2,453.4,401.4,1194.0,781.8,0,10,0,48,672
promote,truth,101,1799,1777,63.6,26.1,7.79,1671.4,9572.6,38,52,0,688,11,0,88.0,373.8,373.8,,94.9,462.8,2869.8,17621.1,3234.3,0,2,0,3,677
promote,truth,202,2167,2167,56.8,29.4,12.43,3729.5,26286.9,47,56,0,708,44,1,97.0,464.4,533.7,29.0,146.3,505.8,4759.7,21504.0,7205.8,0,2,0,3,664
promote,truth,303,1838,1817,66.6,20.3,2.93,575.2,1467.3,21,55,0,685,9,0,69.2,359.7,359.7,,112.7,478.0,987.5,1453.7,1067.8,0,1,0,2,676
promote,truth,404,1011,998,88.5,19.2,2.0,513.7,1617.4,33,43,0,701,43,0,68.6,192.4,1684.5,,76.6,389.8,984.0,1695.0,975.3,0,2,0,3,658
promote,truth,505,2137,2119,77.7,19.4,2.07,596.9,1574.5,28,66,0,721,6,0,107.5,417.6,417.6,,112.4,478.2,1087.5,1354.0,1092.9,0,0,0,3,715
promote,truth,606,1429,1421,88.9,19.6,2.0,558.8,1700.8,24,45,0,690,16,1,71.4,404.8,404.8,29.9,84.3,411.2,817.7,1736.6,1080.4,0,1,0,2,674
"promote, exempt",estimate,101,3001,2093,69.5,20.9,2.4,588.6,1543.3,1059,76,8,688,11,0,115.3,560.5,560.5,,139.7,733.7,647.1,1580.5,1032.2,0,6,0,101,676
"promote, exempt",estimate,202,5709,2781,67.9,19.5,2.52,622.9,1964.3,3016,102,45,708,44,1,210.6,916.9,1013.7,29.0,235.9,970.8,714.1,1963.4,1007.4,0,28,0,277,663
"promote, exempt",estimate,303,3167,2211,62.6,20.9,2.23,603.0,1622.3,971,77,18,685,9,0,84.2,374.7,374.7,,132.3,499.0,1007.5,1633.7,1107.7,0,2,0,95,676
"promote, exempt",estimate,404,2979,1647,81.9,20.1,2.0,577.6,1674.2,1391,68,34,701,43,0,81.9,372.4,1714.5,,106.5,508.8,821.4,1724.6,1064.4,0,20,0,150,655
"promote, exempt",estimate,505,3961,2517,78.0,19.3,2.07,590.2,1772.1,1470,92,23,721,6,0,117.5,462.6,462.6,,139.3,548.9,910.0,1624.0,1048.2,0,3,0,157,713
"promote, exempt",estimate,606,2492,1817,86.2,19.6,2.0,597.0,1619.2,682,64,21,690,16,1,87.4,464.8,464.8,29.9,104.6,476.5,563.6,1545.0,1130.3,0,9,0,74,670
"promote, exempt",truth,101,1799,1777,63.6,26.1,7.79,1671.4,9572.6,38,52,0,688,11,0,88.0,373.8,373.8,,94.9,462.8,2869.8,17621.1,3234.3,0,2,0,3,677
"promote, exempt",truth,202,2167,2167,56.8,29.4,12.43,3729.5,26286.9,47,56,0,708,44,1,97.0,464.4,533.7,29.0,146.3,505.8,4759.7,21504.0,7205.8,0,2,0,3,664
"promote, exempt",truth,303,1849,1817,56.6,26.7,8.24,1885.5,11648.1,32,53,7,685,9,0,69.2,359.7,359.7,,129.8,480.8,2772.5,9215.4,3623.8,0,1,0,3,676
"promote, exempt",truth,404,1011,998,61.5,29.7,10.64,2758.4,19706.9,33,41,2,701,43,0,77.7,192.4,1684.5,,79.8,389.8,6830.1,29709.9,5517.2,0,2,0,3,658
"promote, exempt",truth,505,2146,2119,64.8,28.0,9.69,2437.4,16820.1,37,65,5,721,6,0,110.0,417.6,417.6,,187.7,479.5,1735.0,2651.3,4878.0,0,1,0,4,715
"promote, exempt",truth,606,1429,1421,63.5,28.6,10.15,2550.9,18436.7,24,44,1,690,16,1,73.3,404.8,404.8,29.9,133.3,412.4,5608.3,25971.0,5134.3,0,1,0,2,674
both,estimate,101,2463,2126,87.7,18.6,2.03,490.5,1690.4,4739,70,0,688,11,0,96.2,410.5,410.5,,112.7,644.6,378.5,1760.5,767.0,2,6,620,91,47
both,estimate,202,4344,2706,86.4,17.6,2.01,536.1,2118.8,5020,114,0,708,44,1,194.5,869.4,925.3,29.0,204.1,883.9,506.8,1446.5,757.3,5,24,366,250,294
both,estimate,303,2152,1846,83.1,18.5,2.02,495.5,1767.1,4541,77,0,685,9,0,64.2,359.7,359.7,,85.6,381.9,452.5,1474.9,819.2,1,1,615,86,53
both,estimate,404,1818,1386,89.9,19.8,2.0,411.8,1725.9,3854,72,0,701,43,0,46.7,132.4,799.5,,79.9,448.8,246.5,799.5,669.6,7,13,464,118,188
both,estimate,505,2882,2299,94.4,18.7,2.0,565.7,2086.4,5038,90,0,721,6,0,105.0,462.6,462.6,,92.2,434.9,327.5,837.6,879.6,0,3,629,136,80
both,estimate,606,1231,1522,85.6,19.8,2.05,425.3,1784.2,3864,51,0,690,16,1,76.1,404.8,404.8,29.9,63.6,355.3,253.3,1121.8,696.9,3,8,579,44,84
both,truth,101,249,1225,88.3,18.2,2.0,605.0,2248.3,4736,29,0,688,11,0,33.5,148.8,148.8,,220.3,1774.2,127.5,350.5,983.5,0,1,666,2,11
both,truth,202,147,1180,70.7,17.5,2.01,624.1,2307.6,4874,29,0,708,44,1,45.6,188.7,227.1,29.0,285.3,1999.3,366.7,644.1,961.7,0,2,574,3,90
both,truth,303,348,1702,64.5,18.2,2.02,644.4,2120.9,5264,34,0,685,9,0,42.5,254.7,254.7,,413.4,2015.5,104.2,359.7,940.6,0,0,662,0,14
both,truth,404,91,949,79.2,19.9,2.0,438.5,1894.0,4384,22,0,701,43,0,20.1,45.8,109.5,,174.6,1398.7,52.6,124.5,736.3,0,0,630,1,28
both,truth,505,368,1763,51.3,20.6,2.31,949.3,3330.2,6140,47,0,721,6,0,47.5,177.6,177.6,,352.5,1967.6,167.5,357.6,1601.3,0,0,691,2,24
both,truth,606,39,1091,76.7,19.8,2.1,485.1,1998.9,4508,18,0,690,16,1,40.5,149.8,149.8,29.9,183.5,1425.6,160.5,374.8,791.1,0,1,662,1,12
"both, exempt",estimate,101,2643,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,39,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,6,616,101,54
"both, exempt",estimate,202,4692,2785,71.5,17.8,2.0,689.6,2857.6,5559,88,45,708,44,1,200.7,887.1,925.3,29.0,210.2,898.1,584.5,2033.7,1017.1,6,26,368,262,295
"both, exempt",estimate,303,2231,1982,68.0,20.0,2.18,558.6,1902.5,4928,39,42,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,932.2,1,3,622,85,49
"both, exempt",estimate,404,2480,1656,65.3,26.3,3.92,1005.4,4993.2,4846,47,80,701,43,0,57.5,162.4,859.5,,90.9,474.7,651.2,3449.6,1772.4,6,18,469,151,192
