day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,off,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0
rock burst,off,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0
rock burst,decay,101,7040,9949,129.8,301.4,32.78,5073.7,38409.7,18747,134,262,2986,57,0,55.8,159.6,689.7,,89.2,486.1,2716.6,37322.8,11612.8,5,0,2445,0,489
rock burst,decay,202,6122,9878,121.6,320.5,44.76,8044.8,57658.5,19442,138,206,3086,75,0,79.5,644.3,886.1,,87.8,456.1,5991.7,53957.9,17351.7,13,0,2571,0,453
rock burst,decay,303,6053,9843,120.7,325.1,43.11,8176.2,55482.1,19005,124,192,3103,76,1,77.7,209.1,886.4,886.4,99.5,731.6,5944.1,54017.4,18148.1,15,0,2536,0,506
rock burst,decay,404,6646,9767,118.1,316.0,39.4,7000.8,52729.6,20017,124,199,3001,63,0,52.2,110.1,569.6,,85.2,548.5,8110.5,48697.5,15964.1,12,0,2623,0,327
rock burst,"decay, oracle",101,4489,17133,97.5,330.4,40.35,9999.3,37424.5,32862,50,457,2986,57,0,37.1,69.6,254.7,,3731.0,31752.3,129.5,282.7,15500.5,0,0,2830,0,99
rock burst,"decay, oracle",202,4784,17442,106.1,333.6,44.8,10244.0,40483.5,33680,58,495,3086,75,0,35.3,73.8,254.3,,3647.6,32442.0,154.7,496.1,15756.2,0,0,2920,0,91
rock burst,"decay, oracle",303,4625,17891,103.7,338.8,48.16,11832.2,48002.2,33890,42,399,3103,76,1,40.0,112.4,220.1,181.4,4210.1,34083.4,166.6,526.4,18037.8,0,0,2918,0,109
rock burst,"decay, oracle",404,5375,17701,105.6,325.7,40.76,8932.5,30447.8,33822,49,490,3001,63,0,41.2,69.6,269.6,,3178.6,28642.3,159.1,396.8,13631.4,0,0,2854,0,84
earthquake,off,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0
earthquake,off,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0
earthquake,off,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0
earthquake,off,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0
earthquake,decay,101,18350,22395,345.1,388.6,48.06,16046.4,85343.8,37016,570,528,5167,97,1,53.4,176.0,906.8,29.9,151.0,981.2,7883.1,13213.4,40013.4,9,0,4695,0,384
earthquake,decay,202,20244,24725,348.9,396.8,48.2,18723.2,86474.5,36738,498,204,5249,137,2,198.4,1263.4,1357.5,400.0,166.4,1188.0,24601.4,85312.7,44790.9,24,0,4691,0,445
earthquake,decay,303,19528,24333,343.5,403.4,48.12,18451.5,86370.7,37560,499,380,5216,105,2,206.8,1706.1,2078.6,392.7,223.6,1609.1,10717.3,15885.6,42066.0,10,0,4794,0,327
earthquake,decay,404,21917,26077,382.8,383.3,47.74,17024.8,86199.7,38524,759,157,5401,151,4,330.5,2024.7,2362.8,717.6,277.1,2041.5,38394.8,86066.0,44993.3,25,0,4838,0,437
earthquake,"decay, oracle",101,11188,28160,301.9,429.7,48.12,22968.5,86371.1,51100,243,428,5167,97,1,30.7,44.9,229.4,29.9,7875.9,81828.0,159.6,528.4,38937.7,0,0,4979,0,91
earthquake,"decay, oracle",202,12516,29922,312.0,431.6,48.26,22768.8,86416.5,52706,264,366,5249,137,2,41.6,123.4,582.2,160.0,8564.8,86112.8,292.5,1187.2,38814.4,0,0,5009,0,103
earthquake,"decay, oracle",303,12789,30067,307.0,435.9,48.34,25241.2,86500.4,52117,156,310,5216,105,2,29.5,44.4,230.5,130.2,9467.3,86249.3,161.0,604.2,42996.6,0,0,5004,0,107
earthquake,"decay, oracle",404,14371,31601,322.2,441.3,48.15,22677.8,86437.4,55497,242,326,5401,151,4,34.5,54.3,255.6,76.4,8141.7,86055.8,566.9,1998.0,38131.9,0,0,5138,0,112
