intent,lookahead,uncertainty,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"decay, restored exempt",lookahead 300s,±50 m,303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
"decay, restored exempt",lookahead 300s,±50 m,404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
"decay, restored exempt",lookahead 300s,±50 m,505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
"decay, restored exempt",lookahead 300s,±50 m,606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
"decay, restored exempt",lookahead 300s,±150 m,101,1697,1825,62.4,27.3,6.3,1509.2,10523.8,4855,48,36,688,11,0,81.2,388.8,388.8,,87.9,437.1,1500.7,11915.5,2801.3,1,0,533,0,142
"decay, restored exempt",lookahead 300s,±150 m,202,2030,2147,55.7,30.5,10.71,3074.6,19036.6,1748,52,26,708,44,1,101.8,452.1,490.3,29.0,116.9,466.9,3063.3,15475.9,5358.2,1,0,172,0,492
"decay, restored exempt",lookahead 300s,±150 m,303,1733,1809,53.8,29.5,7.12,1843.1,8513.5,4279,42,48,685,9,0,70.9,359.7,359.7,,106.0,451.4,1017.5,1393.7,3491.9,0,0,434,0,242
"decay, restored exempt",lookahead 300s,±150 m,404,899,990,61.0,30.1,5.96,1480.5,6290.3,2048,36,36,701,43,0,68.6,153.9,1429.5,,75.2,372.9,2201.4,6324.9,2693.5,1,0,218,0,439
"decay, restored exempt",lookahead 300s,±150 m,505,2060,2095,62.8,30.0,8.33,2202.6,11376.1,4459,57,46,721,6,0,110.0,417.6,417.6,,141.0,434.9,3475.0,11620.0,4244.8,0,0,460,0,255
"decay, restored exempt",lookahead 300s,±150 m,606,1399,1456,62.3,29.8,7.47,1741.5,8583.8,3938,39,55,690,16,1,69.6,374.8,374.8,29.9,94.8,398.5,2232.4,10431.0,3312.2,2,0,410,0,266
"decay, restored exempt",lookahead 900s,±0 m,101,840,1665,60.7,29.1,8.37,2443.6,14432.7,4642,29,19,688,11,0,63.5,388.8,388.8,,67.3,379.9,1676.6,11764.6,4488.1,3,0,611,0,58
"decay, restored exempt",lookahead 900s,±0 m,202,1247,1959,52.9,33.2,12.36,3924.3,26836.5,4344,34,17,708,44,1,91.9,415.3,437.1,29.0,85.6,414.8,763.2,1894.2,7307.6,8,0,500,0,166
"decay, restored exempt",lookahead 900s,±0 m,303,1120,1852,53.6,29.7,11.25,3320.7,22985.5,4646,33,10,685,9,0,64.2,359.7,359.7,,82.6,390.8,230.9,659.7,6204.0,0,0,613,0,59
"decay, restored exempt",lookahead 900s,±0 m,404,393,995,61.3,29.8,9.33,2358.7,14941.8,4372,24,15,701,43,0,36.2,108.9,329.5,,58.7,330.2,2269.4,13357.1,4502.2,17,0,606,0,65
"decay, restored exempt",lookahead 900s,±0 m,505,1101,1867,60.2,32.7,13.06,4325.0,31084.2,5076,36,25,721,6,0,97.5,417.6,417.6,,77.5,368.3,300.0,814.0,8435.4,0,0,642,0,69
"decay, restored exempt",lookahead 900s,±0 m,606,610,1389,62.2,29.9,9.93,2533.5,18005.0,4428,22,14,690,16,1,66.8,359.8,359.8,29.9,56.3,317.6,3231.8,19257.2,4836.3,6,0,615,0,57
"decay, restored exempt",lookahead 900s,±50 m,101,1343,1779,60.8,28.9,6.72,1747.9,9369.4,4599,42,26,688,11,0,71.6,373.8,373.8,,79.6,424.0,1528.0,8944.6,3193.3,2,0,582,0,88
"decay, restored exempt",lookahead 900s,±50 m,202,1789,2091,53.7,32.5,11.43,3445.7,25632.1,3303,44,40,708,44,1,98.1,434.4,460.3,29.0,97.7,437.1,2162.6,7253.7,5765.9,4,0,314,0,353
"decay, restored exempt",lookahead 900s,±50 m,303,1472,1878,53.6,29.7,6.38,1806.2,11481.6,4581,40,44,685,9,0,65.9,359.7,359.7,,97.7,434.4,1709.2,11104.9,3363.0,1,0,548,0,128
"decay, restored exempt",lookahead 900s,±50 m,404,635,949,61.3,29.8,5.43,1483.8,9860.9,3764,28,47,701,43,0,50.1,123.9,829.5,,65.9,343.8,1171.0,8253.9,2683.6,5,0,418,0,242
"decay, restored exempt",lookahead 900s,±50 m,505,1693,2029,61.1,31.8,6.58,2107.9,14296.0,5176,50,56,721,6,0,97.5,417.6,417.6,,92.4,408.6,592.5,1099.0,3906.0,0,0,555,0,157
"decay, restored exempt",lookahead 900s,±50 m,606,946,1396,62.2,29.9,5.63,1532.5,7641.6,4548,28,54,690,16,1,69.6,374.8,374.8,29.9,65.8,358.0,2106.8,11397.2,2925.6,4,0,551,0,122
"decay, restored exempt",lookahead 900s,±150 m,101,1698,1818,62.5,27.2,6.7,1570.7,11414.6,3954,48,32,688,11,0,83.9,373.8,373.8,,89.2,447.4,1483.0,12215.5,2987.7,1,0,441,0,233
"decay, restored exempt",lookahead 900s,±150 m,202,2039,2155,56.0,30.2,10.11,2803.2,16754.7,1441,53,20,708,44,1,102.8,452.1,505.3,29.0,116.1,477.6,2837.3,13720.9,4903.5,1,0,139,0,525
"decay, restored exempt",lookahead 900s,±150 m,303,1795,1856,55.5,27.7,6.83,1780.7,8568.9,2949,50,39,685,9,0,69.2,359.7,359.7,,118.6,471.3,1187.5,2840.4,3229.8,0,0,326,0,350
"decay, restored exempt",lookahead 900s,±150 m,404,894,984,61.1,30.0,6.38,1611.8,6516.3,1647,36,32,701,43,0,69.7,153.9,1459.5,,74.9,370.4,2559.3,7344.9,2919.8,1,0,171,0,486
"decay, restored exempt",lookahead 900s,±150 m,505,2115,2154,64.3,28.5,6.44,1669.6,7842.8,2528,63,32,721,6,0,102.5,417.6,417.6,,136.5,472.8,2795.0,8485.0,3174.0,0,0,268,0,447
"decay, restored exempt",lookahead 900s,±150 m,606,1367,1426,62.5,29.6,6.85,1736.7,10060.3,2837,39,40,690,16,1,69.6,374.8,374.8,29.9,99.3,398.5,2401.1,10251.0,3262.8,2,0,305,0,371
