day,local coldstart,cloud coldstart,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,local 0 s,cloud 10 min,404,6656,6656,137.5,297.9,38.37,4870.5,22720.8,0,481,0,3001,63,0,81.5,219.6,734.6,,146.1,1035.1,15788.8,29651.8,17540.1,0,0,0,0,0
rock burst,local 1 min,cloud 1 min,101,6095,6095,132.3,300.7,44.86,6189.2,28414.8,0,200,0,2986,57,0,53.2,136.6,524.7,,125.9,962.3,20643.7,51251,22717.1,0,0,0,0,0
rock burst,local 1 min,cloud 1 min,202,5791,5791,142.0,303.0,45.99,5869.1,26349.4,0,192,0,3086,75,0,94.1,494.3,1239.4,,112.3,866.1,24679.1,71207.2,21462.8,0,0,0,0,0
rock burst,local 1 min,cloud 1 min,303,5635,5635,148.4,300.6,41.33,5038.2,25232.7,0,182,0,3103,76,1,82.3,565.9,931.4,931.4,114.8,815.4,16745.1,53527.5,18400.9,0,0,0,0,0
rock burst,local 1 min,cloud 1 min,404,5403,5403,136.4,301.7,42.78,5572.6,26136.4,0,178,0,3001,63,0,62.9,160.2,471.0,,109.2,795.2,18707.9,45551.8,20328.4,0,0,0,0,0
rock burst,local 1 min,cloud 3 min,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
rock burst,local 1 min,cloud 3 min,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0
rock burst,local 1 min,cloud 3 min,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0
rock burst,local 1 min,cloud 3 min,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0
rock burst,local 1 min,cloud 10 min,101,7877,7877,128.6,300.8,45.16,6029.9,28041.4,0,519,0,2986,57,0,85.8,347.0,1169.7,,214.9,1510.1,19618.9,52331,21817.4,0,0,0,0,0
rock burst,local 1 min,cloud 10 min,202,7493,7493,141.0,299.0,41.98,4757.0,22640.0,0,588,0,3086,75,0,140.9,1139.3,1734.4,,185.4,1371.5,19842.3,56792.2,17067.6,0,0,0,0,0
rock burst,local 1 min,cloud 10 min,303,7464,7464,150.0,295.8,36.44,3683.1,19491.2,0,549,0,3103,76,1,140.3,1090.9,1441.4,1441.4,190.7,1334.3,11997.0,35902.5,13091.5,0,0,0,0,0
rock burst,local 1 min,cloud 10 min,404,6658,6658,137.8,297.6,38.61,4903.1,22772.3,0,481,0,3001,63,0,81.0,219.6,734.6,,145.4,1029.9,15898.6,30521.8,17664.6,0,0,0,0,0
rock burst,local 5 min,cloud 1 min,101,6095,6095,135.7,298.2,45.02,6224.7,28588.9,0,200,0,2986,57,0,53.2,136.6,524.7,,126.1,962.3,20802.1,51821,22847.9,0,0,0,0,0
rock burst,local 5 min,cloud 1 min,202,5789,5789,143.6,301.9,46.46,5968.8,27262.1,0,192,0,3086,75,0,94.3,494.3,1239.4,,112.5,866.1,25148.5,72917.2,21833.1,0,0,0,0,0
rock burst,local 5 min,cloud 1 min,303,5636,5636,152.5,298.9,41.45,5055.5,25249.0,0,182,0,3103,76,1,83.1,565.9,931.4,931.4,115.0,815.4,16800.0,53932.5,18464.6,0,0,0,0,0
rock burst,local 5 min,cloud 1 min,404,5408,5408,140.2,298.4,42.97,5606.2,26205.2,0,178,0,3001,63,0,63.1,160.2,471.0,,109.8,795.2,18811.2,46211.8,20451.9,0,0,0,0,0
rock burst,local 5 min,cloud 3 min,101,6920,6920,129.3,304.1,48.08,7912.2,48230.2,0,210,0,2986,57,0,61.0,151.0,704.7,,145.0,1079.4,27576.0,72911,29058.9,0,0,0,0,0
rock burst,local 5 min,cloud 3 min,202,6671,6671,137.0,308.1,47.9,7670.2,49312.1,0,204,0,3086,75,0,105.1,659.3,1344.4,,129.2,986.4,32490.9,86277.7,28058.5,0,0,0,0,0
rock burst,local 5 min,cloud 3 min,303,6021,6021,150.7,303.8,46.24,6218.7,28761.2,0,195,0,3103,76,1,97.7,685.9,1051.4,1051.4,132.4,940.0,20612.5,71197.5,22735.8,0,0,0,0,0
rock burst,local 5 min,cloud 3 min,404,5927,5927,135.6,304.4,47.99,7250.4,39007.9,0,189,0,3001,63,0,71.9,177.7,576.0,,125.1,903.8,24173.4,67691.8,26516.2,0,0,0,0,0
rock burst,local 5 min,cloud 10 min,101,7981,7981,131.9,297.0,43.85,5691.0,27075.7,0,537,0,2986,57,0,85.3,347.0,1169.7,,215.9,1510.1,18080.0,47591,20547.0,0,0,0,0,0
rock burst,local 5 min,cloud 10 min,202,7585,7585,141.6,298.0,42.42,4840.1,23077.8,0,594,0,3086,75,0,142.1,1139.3,1734.4,,186.1,1371.5,20256.7,58397.2,17373.6,0,0,0,0,0
rock burst,local 5 min,cloud 10 min,303,7578,7578,153.5,292.1,34.39,3366.6,17407.8,0,573,0,3103,76,1,143.9,1090.9,1441.4,1441.4,192.2,1334.3,10787.4,28522.5,11892.3,0,0,0,0,0
rock burst,local 5 min,cloud 10 min,404,6588,6588,141.4,295.1,39.59,5064.6,23156.9,0,502,0,3001,63,0,83.4,244.9,644.6,,138.3,954.9,16395.3,34061.8,18297.1,0,0,0,0,0
earthquake,local 0 s,cloud 1 min,101,21888,21888,349.2,387.4,48.18,16043.4,86354.3,0,686,0,5167,97,1,140.1,610.5,2811.8,29.9,374.2,2687.4,55957.9,86517.6,58408.3,0,0,0,0,0
earthquake,local 0 s,cloud 1 min,202,23063,23063,352.8,394.6,48.32,16557.3,86382.1,0,711,0,5249,137,2,439.4,2876.2,3069.8,220.0,401.9,2912.3,59366.8,86478.5,60059.2,0,0,0,0,0
earthquake,local 0 s,cloud 1 min,303,24007,24007,362.7,387.2,48.2,16282.1,86372.6,0,748,0,5216,105,2,381.4,2912.8,3124.5,325.2,456.9,2953.0,55616.0,86480.5,58696.4,0,0,0,0,0
earthquake,local 0 s,cloud 1 min,404,23808,23808,374.0,396.1,48.1,16629.7,86361.1,0,745,0,5401,151,4,520.8,3149.3,3247.8,908.9,432.1,2977.0,62703.4,86592.7,59657.0,0,0,0,0,0
earthquake,local 0 s,cloud 3 min,101,22684,22684,347.5,388.1,48.17,16260.3,86357.8,0,698,0,5167,97,1,153.1,730.5,2916.8,29.9,398.7,2810.0,56276.8,86535.0,59116.5,0,0,0,0,0
