notice,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,encounter.decisions,encounter.in_time_share,encounter.never,encounter.unwinnable,encounter.latency_p50_s,encounter.slack_p50_s,encounter warned.decisions,encounter warned.in_time_share,encounter warned.never,encounter warned.unwinnable,encounter warned.latency_p50_s,encounter warned.slack_p50_s,encounter reroute.decisions,encounter reroute.in_time_share,encounter reroute.never,encounter reroute.unwinnable,encounter reroute.latency_p50_s,encounter reroute.slack_p50_s,the day's own.decisions,the day's own.in_time_share,the day's own.never,the day's own.unwinnable,the day's own.latency_p50_s,the day's own.slack_p50_s
120 s,off,303,7,7,53.9,278.3,24.01,1190.1,8538.4,0,0,0,2246,110,4,42.2,119.2,152.2,38.4,47.1,141.2,4333.9,9063.4,4272.3,0,0,0,0,0,40,0.925,0,0,34.285,56.550026386,40,0.7,0,0,41.034,55.715556984,40,0.3,0,20,34.285,31.2,751,0.9227696404793608,0,21,37.748,724.584160936
120 s,off,404,10,10,61.8,278.3,24.0,412.2,2896.0,0,0,0,2252,95,3,46.3,127.3,214.2,50.6,49.4,139.6,1392.5,3551.5,1438.0,0,0,0,0,0,40,0.85,0,0,31.749,60.916363526,40,0.6,0,0,43.339,61.32742597,40,0.275,0,24,31.749,32.8,741,0.9203778677462888,0,26,37.579,792.719532906
120 s,decay,101,1497,4314,48.6,280.6,24.06,1198.2,9526.8,12109,0,100,2282,98,11,44.3,106.7,204.1,33.8,41.4,93.0,439.2,2375.8,2651.0,10,0,1615,0,579,40,0.925,0,0,36.477,53.580294423,40,0.625,0,0,43.385,53.94886146,40,0.3,0,21,36.477,19.9,753,0.949535192563081,0,14,34.474,754.163919971
120 s,decay,202,1214,3610,43.3,279.4,24.0,868.4,6329.8,11099,0,93,2205,94,5,39.9,80.6,190.7,75.8,41.2,91.1,506.0,862.8,1980.8,6,0,1543,0,574,40,0.975,0,0,34.486,55.514876123,40,0.625,0,0,63.91,56.580266402,40,0.35,0,20,34.486,32.4,696,0.9540229885057471,0,14,34.77,763.659688508
120 s,decay,303,1488,3924,47.9,280.6,24.03,1695.3,16604.8,11708,0,128,2246,110,4,37.2,61.2,132.9,27.2,40.7,97.2,1258.0,4345.9,3684.2,9,0,1584,0,561,40,1,0,0,35.202,54.252823389,40,0.75,0,0,40.918,54.252823389,40,0.325,0,20,35.202,31.2,751,0.9254327563249002,0,21,35.374,724.584160936
120 s,decay,404,1596,3829,50.1,279.3,24.0,1253.8,9986.6,11712,0,116,2252,95,3,38.9,85.4,172.3,25.6,41.5,97.5,723.7,1960.4,2807.8,8,0,1599,0,566,40,0.975,0,0,29.139,60.861952363,40,0.8,0,0,35.306,57.114321817,40,0.3,0,24,29.139,24.9,741,0.9284750337381916,0,26,36.376,796.383519525
120 s,"decay, oracle",101,2690,13201,40.0,285.3,24.51,2053.2,8562.6,25755,0,234,2282,98,11,33.6,53.9,76.5,29.7,771.1,6167.1,112.5,291.2,3018.3,0,0,2090,0,94,40,1,0,0,33.976,55.676531276,40,0.825,0,0,36.27,54.532546817,40,0.325,0,21,33.976,20.7,753,0.953519256308101,0,14,31.035,661.107247797
120 s,"decay, oracle",202,2380,12066,34.1,281.8,24.17,1729.3,7242.2,24854,0,216,2205,94,5,32.0,54.5,90.0,33.8,567.8,4924.5,109.6,259.7,2602.9,0,0,2022,0,89,40,1,0,0,29.05,60.30723117,40,0.85,0,0,39.146,54.369024887,40,0.45,0,20,29.05,29.4,696,0.9525862068965517,0,14,31.148,651.632818062
120 s,"decay, oracle",303,3021,12187,39.0,285.4,24.45,2505.2,10432.0,24848,0,292,2246,110,4,32.7,55.9,101.0,27.2,898.7,8406.0,128.9,344.2,3701.2,0,0,2039,0,97,40,0.975,0,0,31.967,58.033175529,40,0.775,0,0,40.918,54.252823389,40,0.35,0,20,31.967,31.2,751,0.9307589880159787,0,21,32.55,657.011350665
120 s,"decay, oracle",404,2788,12281,40.3,281.0,24.05,2202.3,9312.5,25109,0,228,2252,95,3,33.0,67.3,109.2,25.6,815.3,7223.3,118.5,282.1,3249.3,0,0,2060,0,97,40,1,0,0,29.139,60.320671478,40,0.9,0,0,33.866,58.251404953,40,0.325,0,24,29.139,17,741,0.9406207827260459,0,26,29.815,711.367726061
